bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n
3924501-0,2.8,ausreichend,546067.286,5763495.978
3924510-0,2.5,ausreichend,548516.749,5768742.715
3924512-1,2.1,befriedigend,551543.754,5767902.403
3924512-2,2.1,befriedigend,551543.754,5767902.403
3924512-3,2.5,ausreichend,551543.754,5767902.403
3924516-0,2.4,befriedigend,550916.574,5770310.999
3924525-0,2.3,befriedigend,552436.125,5765335.551
3924526-0,2.1,befriedigend,545923.51,5761204.718
3926503-0,2.5,ausreichend,576841.184,5762900.237
3926504-0,2.5,ausreichend,577340.614,5762212.294
3926505-0,2.2,befriedigend,578191.067,5761791.003
3926507-1,1.7,gut,579470.423,5761947.486
3926507-2,1.6,gut,579470.423,5761947.486
3926507-3,1.1,sehr gut,579470.423,5761947.486
3926507-4,1.0,sehr gut,579470.423,5761947.486
3926514-0,2.5,ausreichend,576908.931,5762867.602
3926517-0,2.2,befriedigend,574989.787,5764339.077
3926532-0,2.4,befriedigend,570790.214,5770819.28
3926537-0,2.7,ausreichend,579409.423,5772496.164
3926538-1,2.4,befriedigend,579610.957,5772379.918
3926538-2,2.3,befriedigend,579608.37,5772381.403
3926540-0,1.9,gut,574846.117,5764882.591
3926546-0,1.9,gut,579525.547,5762176.263
3926547-0,1.1,sehr gut,579393.336,5761603.807
3926548-1,1.0,sehr gut,579713.861,5762739.29
3926548-2,1.6,gut,579713.861,5762739.29
3926549-1,1.0,sehr gut,579476.524,5761973.828
3926549-2,1.0,sehr gut,579476.524,5761973.828
3927513-1,2.1,befriedigend,581469.588,5767449.185
3927513-2,2.6,ausreichend,581469.588,5767449.185
3927516-0,2.7,ausreichend,587754.564,5768656.061
3927518-1,2.1,befriedigend,581831.772,5769283.305
3927518-2,2.7,ausreichend,581831.772,5769283.305
3927523-0,2.4,befriedigend,580569.132,5771721.85
3927524-0,2.9,ausreichend,580958.086,5771321.728
3927528-0,2.8,ausreichend,585172.865,5771194.66
3927530-0,3.0,nicht ausreichend,580097.045,5772090.803
3927533-0,1.8,gut,583843.387,5771856.619
3927535-0,2.2,befriedigend,589594.232,5768575.686
3927536-0,2.5,ausreichend,589022.456,5768600.991
3927539-0,1.2,sehr gut,581790.612,5769666.706
3927540-0,1.2,sehr gut,581828.666,5768848.677
3927541-0,1.1,sehr gut,580088.418,5763679.536
3927542-4,1.9,gut,580752.427,5766100.953
3927543-1,1.7,gut,581535.722,5770481.996
3927543-2,1.8,gut,581535.722,5770481.996
3927544-1,1.8,gut,581832.063,5769350.395
3927544-2,1.7,gut,581832.063,5769350.395
3927545-1,1.9,gut,581514.47,5767554.161
3927545-2,1.9,gut,581514.47,5767554.161
3927546-1,1.2,sehr gut,581445.926,5767393.952
3927546-2,1.8,gut,581445.926,5767393.952
3927547-1,1.0,sehr gut,580262.003,5764227.25
3927547-2,1.0,sehr gut,580262.003,5764227.25
3928503-0,1.7,gut,594527.471,5761941.564
3928504-0,1.8,gut,594400.995,5762472.585
3928505-0,2.5,ausreichend,594352.411,5762668.605
3928507-1,2.2,befriedigend,602407.603,5772211.502
3928507-2,2.0,befriedigend,602407.603,5772211.502
3928508-0,2.7,ausreichend,592538.09,5764278.292
3928509-1,2.3,befriedigend,592742.007,5764393.479
3928509-2,2.2,befriedigend,592750.899,5764390.206
3928510-0,2.8,ausreichend,592874.677,5764753.417
3928511-0,2.9,ausreichend,592898.584,5764501.56
3928513-1,1.8,gut,602523.987,5771716.594
3928513-2,2.2,befriedigend,602523.987,5771716.594
3928514-0,2.2,befriedigend,592876.752,5764921.748
3928515-0,2.3,befriedigend,592885.694,5765279.356
3928516-0,2.3,befriedigend,592915.857,5765699.024
3928518-0,2.3,befriedigend,592950.258,5765921.847
3928519-0,2.5,ausreichend,592983.836,5766119.425
3928520-0,3.4,nicht ausreichend,593062.593,5766727.087
3928523-0,2.5,ausreichend,591955.946,5767291.662
3928524-0,2.3,befriedigend,591579.338,5767807.097
3928528-0,2.2,befriedigend,595326.503,5768187.919
3928529-0,2.7,ausreichend,595795.392,5768516.79
3928530-0,2.5,ausreichend,596020.39,5768713.736
3928539-0,2.0,befriedigend,592997.852,5766901.838
3928540-0,2.7,ausreichend,592785.316,5767090.576
3929504-0,2.3,befriedigend,607345.869,5764645.917
3929505-0,2.2,befriedigend,607886.831,5764734.126
3929506-0,1.8,gut,609790.47,5765576.653
3929507-0,2.2,befriedigend,602756.773,5770514.082
3929514-0,2.1,befriedigend,610542.075,5766875.918
3929515-0,1.8,gut,605332.379,5765260.05
3929516-0,2.7,ausreichend,610649.285,5767123.212
3929528-0,2.9,ausreichend,604444.862,5765000.125
3929529-0,2.2,befriedigend,604643.951,5764631.074
3929530-0,2.3,befriedigend,604885.061,5764242.453
3929531-0,2.3,befriedigend,605127.237,5763885.5
3929532-0,1.6,gut,605077.218,5763956.778
3929533-0,2.2,befriedigend,605554.185,5763304.917
3929534-1,1.9,gut,605760.906,5763028.3
3929534-2,1.8,gut,605763.308,5763025.096
3929535-1,1.9,gut,605902.402,5762835.411
3929535-2,2.0,befriedigend,605902.402,5762835.411
3929536-1,2.2,befriedigend,602872.836,5769882.105
3929536-2,1.8,gut,602873.018,5769881.121
3929537-0,2.1,befriedigend,604313.311,5765270.052
3929539-1,1.8,gut,604038.727,5765902.467
3929539-2,1.8,gut,604036.442,5765908.02
3929540-1,2.0,befriedigend,603346.098,5767880.485
3929540-2,2.0,befriedigend,603345.274,5767883.372
3929541-0,2.3,befriedigend,603027.458,5769125.16
3929542-1,2.0,befriedigend,603676.116,5766855.533
3929542-2,1.9,gut,603689.758,5766816.832
3929543-0,2.3,befriedigend,605499.699,5765304.677
3929544-0,2.3,befriedigend,605986.709,5765322.503
3929545-0,2.3,befriedigend,606496.442,5765138.355
3929707-0,2.1,befriedigend,605096.54,5763928.763
3930500-0,2.0,befriedigend,620767.181,5767818.303
3930755-0,2.3,befriedigend,622362.629,5764623.327
3931503-0,1.1,sehr gut,631921.667,5773614.637
3931508-0,1.1,sehr gut,629305.75,5768958.269
3931513-0,1.1,sehr gut,629851.323,5766200.826
3931517-0,2.0,befriedigend,629377.917,5769115.184
3932503-0,2.7,ausreichend,643652.591,5766784.463
3932504-0,2.3,befriedigend,643662.864,5766843.49
3932505-0,2.4,befriedigend,643671.048,5766890.512
3932526-0,1.3,sehr gut,642963.048,5769943.916
3933500-0,3.0,nicht ausreichend,659079.783,5765158.413
3933508-A1,1.2,sehr gut,655587.553,5766169.546
3933508-A2,1.2,sehr gut,655587.553,5766169.546
3934504-0,1.2,sehr gut,665288.926,5765079.113
3934510-0,2.3,befriedigend,661546.57,5773376.766
3934540-0,2.3,befriedigend,667886.478,5769933.51
3934837-0,2.3,befriedigend,671257.358,5764065.909
3935501-0,3.2,nicht ausreichend,672731.733,5768182.335
3935504-0,3.4,nicht ausreichend,674334.986,5770482.24
3935505-A1,2.4,befriedigend,677247.914,5773192.369
3935505-A2,2.5,ausreichend,677247.914,5773192.369
3935506-0,3.2,nicht ausreichend,675985.52,5772424.276
3935507-0,3.2,nicht ausreichend,677247.914,5773192.369
3935680-0,2.4,befriedigend,674050.138,5773356.852
3935681-A1,2.7,ausreichend,674830.797,5772385.641
3935681-A2,2.5,ausreichend,674830.797,5772385.641
3935682-A1,2.4,befriedigend,675189.084,5772059.931
3935682-A2,2.5,ausreichend,675189.084,5772059.931
3935683-0,2.3,befriedigend,676329.013,5771307.536
3935684-0,2.4,befriedigend,678557.399,5770444.959
3935685-0,2.4,befriedigend,679198.963,5770211.881
3935687-0,2.3,befriedigend,679738.707,5769938.836
3935688-A1,2.8,ausreichend,680369.672,5769233.733
3935688-A2,2.8,ausreichend,680369.672,5769233.733
3935690-A1,1.9,gut,682020.119,5765976.589
3935690-A2,1.9,gut,682020.119,5765976.589
3935691-A1,2.2,befriedigend,682268.553,5765463.103
3935691-A2,2.0,befriedigend,682268.553,5765463.103
3935692-0,2.4,befriedigend,682586.255,5764713.61
3936503-0,2.3,befriedigend,691913.013,5769489.364
3936504-0,2.2,befriedigend,693481.539,5772820.109
3938782-0,2.8,ausreichend,706802.193,5766977.197
3941500-1,1.3,sehr gut,750884.826,5775609.14
3941500-2,2.0,befriedigend,750884.826,5775609.14
3941501-0,2.0,befriedigend,750123.389,5773490.65
3941502-1,1.1,sehr gut,749398.706,5772501.618
3941502-2,1.3,sehr gut,749398.706,5772501.618
3941503-1,1.7,gut,748695.936,5771940.846
3941503-2,1.7,gut,748695.936,5771940.846
3941504-1,1.4,sehr gut,748020.333,5770964.476
3941504-2,1.3,sehr gut,748020.333,5770964.476
3941505-1,1.9,gut,747451.638,5770676.308
3941505-2,2.1,befriedigend,747451.638,5770676.308
3941511-1,1.2,sehr gut,746410.362,5769491.958
3941511-2,1.2,sehr gut,746410.362,5769491.958
3941512-1,1.3,sehr gut,745627.476,5768927.359
3941512-2,1.3,sehr gut,745627.476,5768927.359
3941513-0,2.0,befriedigend,746836.751,5769865.168
3941517-0,2.3,befriedigend,750582.299,5774811.557
3942500-1,2.0,befriedigend,752463.601,5777859.184
3942500-2,1.7,gut,752463.601,5777859.184
3942501-1,1.8,gut,752167.415,5777537.528
3942501-2,1.8,gut,752167.415,5777537.528
3942503-0,2.2,befriedigend,752801.672,5778175.557
3943501-0,1.2,sehr gut,764843.987,5778343.754
3944500-0,2.7,ausreichend,781492.419,5771159.472
3944508-0,2.4,befriedigend,781731.861,5768984.098
3944509-0,2.0,befriedigend,781669.159,5769114.797
3944510-0,2.0,befriedigend,781265.805,5769598.972
3944511-0,2.4,befriedigend,782066.437,5779788.918
3944513-0,1.2,sehr gut,781687.084,5772868.384
3944514-0,1.3,sehr gut,781450.229,5773677.083
3944515-1,1.4,sehr gut,781431.474,5773830.006
3944515-2,1.3,sehr gut,781431.286,5773831.998
3944516-0,2.2,befriedigend,781456.628,5775336.98
3944517-0,2.4,befriedigend,782403.219,5776462.701
3944518-0,1.7,gut,783099.063,5777198.154
3944520-0,1.5,gut,782210.307,5779257.184
3944525-0,1.1,sehr gut,781210.957,5770438.861
3947500-0,1.9,gut,818875.361,5778230.701
3948503-0,1.9,gut,822201.011,5773163.276
3948504-1,1.8,gut,821487.883,5773759.409
3948504-2,1.1,sehr gut,821487.883,5773759.409
3948505-0,1.5,gut,821114.543,5774276.066
3948506-0,1.5,gut,823794.045,5772036.323
3949501-0,2.2,befriedigend,837575.101,5779409.565
3949503-0,2.7,ausreichend,834273.451,5781028.408
3949507-0,2.7,ausreichend,833618.313,5781669.053
3949514-0,2.0,befriedigend,842252.98,5778678.774
3949517-0,2.0,befriedigend,834632.456,5781048.815
3951500-0,2.7,ausreichend,854165.483,5783089.647
3951505-0,2.0,befriedigend,861927.185,5780581.215
3951506-0,2.0,befriedigend,860199.58,5783831.504
3953502-0,3.5,ungenŸgend,886752.085,5785643.778
3953503-0,1.8,gut,886866.151,5786273.451
3954502-0,2.1,befriedigend,889677.36,5777151.621
3954503-0,2.3,befriedigend,889793.664,5777443.297
3954504-0,1.9,gut,889565.407,5778382.63
3954505-0,2.2,befriedigend,889324.587,5779717.408
3954506-0,2.0,befriedigend,889345.71,5779145.302
3954507-0,1.1,sehr gut,889143.844,5781035.456
3954509-0,1.2,sehr gut,888586.604,5782226.452
4006502-0,2.0,befriedigend,350548.755,5755859.27
4007501-0,2.1,befriedigend,353328.742,5754784.451
4007502-0,2.0,befriedigend,352582.052,5754854.852
4007503-0,2.7,ausreichend,353805.717,5754875.001
4007504-0,2.2,befriedigend,352204.503,5754995.299
4007505-0,3.0,nicht ausreichend,351018.7,5755638.008
4007513-0,1.7,gut,351858.839,5753485.315
4007514-0,1.1,sehr gut,351457.984,5760760.12
4007517-0,1.5,gut,352529.071,5752090.806
4007518-0,1.0,sehr gut,352418.873,5752309.207
4007519-0,2.2,befriedigend,351893.695,5753157.451
4007520-2,1.0,sehr gut,357506.523,5755111.053
4008525-0,1.8,gut,373221.478,5755108.385
4008526-2,2.0,befriedigend,373101.993,5755756.418
4008527-2,2.0,befriedigend,373040.776,5755906.794
4008528-0,2.3,befriedigend,372954.206,5756093.972
4008529-1,2.3,befriedigend,373171.583,5757276.332
4008530-0,1.7,gut,364805.033,5756176.536
4008531-0,2.1,befriedigend,362555.205,5756234.609
4008532-0,2.1,befriedigend,363468.701,5756237.441
4008533-0,1.8,gut,364450.579,5756202.303
4008536-0,2.3,befriedigend,371414.459,5755338.072
4008537-0,2.4,befriedigend,372154.344,5755267.373
4008538-0,1.0,sehr gut,373056.081,5754918.472
4008539-0,1.8,gut,373817.631,5753620.615
4008551-2,1.2,sehr gut,372999.099,5757151.264
4008880-0,2.4,befriedigend,364242.604,5752473.522
4008881-0,2.5,ausreichend,364716.056,5754135.515
4008882-1,2.5,ausreichend,365241.828,5755261.916
4008882-2,2.5,ausreichend,365241.828,5755261.916
4008883-0,1.2,sehr gut,365361.717,5755548.892
4008884-1,2.5,ausreichend,365481.688,5755899.946
4008884-2,2.5,ausreichend,365481.688,5755899.946
4008885-0,1.2,sehr gut,365559.223,5756189.642
4008886-1,2.5,ausreichend,365647.227,5756656.16
4008886-2,2.4,befriedigend,365647.227,5756656.16
4008887-0,2.3,befriedigend,365684.723,5756951.703
4008888-0,2.3,befriedigend,365760.681,5757855.281
4008889-0,2.3,befriedigend,365836.879,5758845.136
4008890-0,2.3,befriedigend,366044.729,5760252.133
4008891-0,2.3,befriedigend,366099.982,5761792.309
4008892-0,2.4,befriedigend,366110.514,5762322.941
4009502-0,2.0,befriedigend,377279.734,5755054.639
4009536-0,2.1,befriedigend,373936.612,5754499.693
4009537-0,2.0,befriedigend,374096.589,5754483.869
4009538-0,2.4,befriedigend,374207.397,5754487.721
4009539-0,2.0,befriedigend,374287.729,5754497.74
4009540-0,1.1,sehr gut,374530.992,5754573.572
4009541-0,2.3,befriedigend,375242.057,5754658.159
4009542-0,2.2,befriedigend,375723.254,5754737.007
4009549-0,1.0,sehr gut,380594.075,5755311.224
4009550-0,2.0,befriedigend,380425.744,5755226.186
4009556-0,2.3,befriedigend,374127.348,5753397.532
4009557-0,1.1,sehr gut,373978.329,5753455.303
4009561-0,2.1,befriedigend,375941.626,5751739.333
4009562-0,2.0,befriedigend,375567.346,5752323.666
4009563-0,2.1,befriedigend,375065.734,5752548.553
4009565-0,1.5,gut,382481.327,5754667.027
4009566-0,2.0,befriedigend,383269.355,5753788.747
4009567-0,2.0,befriedigend,383530.958,5753940.568
4010503-0,2.2,befriedigend,386912.898,5754359.386
4010796-0,2.8,ausreichend,388844.861,5751102.098
4010797-1,1.7,gut,389347.114,5751533.501
4010797-2,1.8,gut,389347.114,5751533.501
4010798-0,2.5,ausreichend,389449.119,5751593.074
4010799-0,2.0,befriedigend,390347.634,5751853.957
4010800-0,2.2,befriedigend,391064.474,5751778.853
4010801-1,1.7,gut,391706.693,5751616.153
4010801-2,1.8,gut,391706.693,5751616.153
4010802-0,1.5,gut,391983.614,5751556.018
4010803-1,2.0,befriedigend,392685.458,5751471.14
4010803-2,1.8,gut,392685.458,5751471.14
4010804-0,4.0,ungenŸgend,392922.632,5751459.001
4010805-0,2.0,befriedigend,393627.775,5751394.138
4010806-1,2.3,befriedigend,394200.801,5751269.698
4010806-2,2.1,befriedigend,394200.801,5751269.698
4010807-0,1.2,sehr gut,394603.088,5751159.617
4010808-0,1.8,gut,394850.02,5751098.333
4010809-0,1.8,gut,395390.453,5751019.649
4010810-0,2.0,befriedigend,396256.644,5751115.663
4011528-0,2.9,ausreichend,401813.252,5760725.786
4011530-0,1.6,gut,402744.834,5760539.452
4011536-1,2.0,befriedigend,400582.996,5760913.076
4011536-2,2.0,befriedigend,400582.996,5760913.076
4011538-0,2.0,befriedigend,401678.018,5760732.417
4011571-0,2.8,ausreichend,408183.341,5756608.429
4011590-0,2.6,ausreichend,399938.989,5761108.452
4011599-0,1.9,gut,399082.357,5761592.255
4011620-2,1.0,sehr gut,404371.936,5754706.08
4011620-3,1.0,sehr gut,404371.936,5754706.08
4011623-2,1.0,sehr gut,404560.907,5754682.099
4011623-3,1.5,gut,404560.907,5754682.099
4011624-2,1.2,sehr gut,404829.996,5754708.731
4011625-2,1.9,gut,405114.939,5754766.846
4011628-2,2.0,befriedigend,405315.27,5754825.201
4011632-2,2.3,befriedigend,405496.56,5754874.709
4011639-0,1.1,sehr gut,406147.626,5755070.608
4011642-1,2.1,befriedigend,406195.226,5755059.863
4011642-2,1.8,gut,406195.226,5755059.863
4011643-2,1.0,sehr gut,406376.832,5755157.469
4011643-3,1.0,sehr gut,406376.832,5755157.469
4011644-2,1.0,sehr gut,406424.517,5755184.742
4011644-3,1.1,sehr gut,406424.517,5755184.742
4011661-0,1.9,gut,407012.948,5755616.358
4011664-0,1.8,gut,407468.582,5755946.765
4011665-0,1.1,sehr gut,407547.774,5756011.085
4011681-1,1.8,gut,400170.468,5758453.493
4011681-2,1.8,gut,400170.468,5758453.493
4011687-1,1.8,gut,400820.056,5753109.435
4011687-2,1.8,gut,400869.717,5753102.448
4011687-3,2.1,befriedigend,400869.717,5753102.448
4011690-1,2.3,befriedigend,400565.496,5754353.649
4011690-2,1.8,gut,400565.496,5754353.649
4011691-1,1.2,sehr gut,400467.693,5754874.892
4011691-2,2.9,ausreichend,400467.693,5754874.892
4011692-0,2.3,befriedigend,400395.551,5755250.261
4011693-2,2.2,befriedigend,400240.122,5756212.372
4011694-2,2.2,befriedigend,400154.941,5756888.462
4011695-2,2.2,befriedigend,400107.648,5757557.975
4011697-0,2.3,befriedigend,400586.887,5759895.073
4011699-0,2.2,befriedigend,400785.418,5760291.239
4011701-1,2.7,ausreichend,401084.548,5760783.67
4011701-2,2.8,ausreichend,401093.502,5760796.933
4011702-1,1.8,gut,400722.043,5753679.159
4011702-2,1.9,gut,400722.043,5753679.159
4011704-0,2.9,ausreichend,401604.388,5761528.852
4011711-0,2.0,befriedigend,400945.915,5752734.867
4011712-1,2.5,ausreichend,400897.632,5753111.328
4011743-1,1.0,sehr gut,401009.668,5752596.091
4011811-0,2.2,befriedigend,396819.321,5751285.064
4011812-0,2.1,befriedigend,397426.006,5751515.831
4011813-0,2.6,ausreichend,397658.043,5751616.265
4011814-0,1.9,gut,398841.257,5752171.473
4011815-0,2.4,befriedigend,399629.909,5752404.271
4011821-0,2.8,ausreichend,401736.475,5752625.454
4011823-0,1.2,sehr gut,402896.004,5752954.478
4011824-2,3.0,nicht ausreichend,403489.156,5753915.303
4011825-1,2.7,ausreichend,403839.324,5754674.611
4011826-2,2.8,ausreichend,404018.377,5754742.359
4012514-0,2.3,befriedigend,408426.908,5756926.808
4012515-0,2.3,befriedigend,408782.379,5757554.579
4012516-0,2.3,befriedigend,408922.72,5757980.019
4012517-0,2.0,befriedigend,408862.359,5758346.375
4012518-0,3.0,nicht ausreichend,408811.087,5758530.058
4012522-1,2.3,befriedigend,410635.778,5758967.287
4012522-2,2.7,ausreichend,410635.778,5758967.287
4012528-A,1.9,gut,416148.279,5760552.198
4012528-B,2.4,befriedigend,416180.027,5760581.023
4012531-0,1.2,sehr gut,416139.217,5760542.913
4012534-0,2.0,befriedigend,418851.96,5759004.284
4012535-0,1.0,sehr gut,418959.437,5758815.256
4012537-0,2.0,befriedigend,419269.36,5758420.048
4012538-0,2.5,ausreichend,418605.511,5759437.868
4012539-0,1.1,sehr gut,418356.965,5759898.676
4012540-0,2.0,befriedigend,418206.162,5760262.355
4013509-0,1.2,sehr gut,423625.403,5757450.958
4013510-0,1.0,sehr gut,420467.987,5758049.234
4014500-0,1.0,sehr gut,434636.58,5751044.707
4014508-0,1.0,sehr gut,438856.396,5753781.85
4014513-0,2.0,befriedigend,441281.488,5758843.687
4014514-0,1.6,gut,437123.768,5754506.593
4014515-0,1.0,sehr gut,435797.407,5754998.727
4014525-0,1.0,sehr gut,432105.084,5756847.754
4014526-0,1.0,sehr gut,432234.845,5756508.244
4014527-0,1.0,sehr gut,432334.315,5756278.094
4014528-0,1.0,sehr gut,432416.442,5755829.395
4014529-0,1.0,sehr gut,432398.79,5755516.708
4014530-0,1.0,sehr gut,431284.614,5755921.7
4014531-0,1.0,sehr gut,432404.549,5755573.313
4014532-0,1.0,sehr gut,432114.145,5756715.471
4014539-1,1.0,sehr gut,433404.166,5759852.976
4014540-1,1.1,sehr gut,433361.752,5760023.597
4014541-0,1.7,gut,433417.043,5760516.255
4014542-0,2.0,befriedigend,433563.977,5760851.829
4014546-0,1.7,gut,434586.48,5759389.796
4014547-0,1.7,gut,434283.932,5759421.448
4015500-0,1.0,sehr gut,452714.075,5753647.495
4015503-0,1.1,sehr gut,451164.182,5754725.509
4015508-0,3.0,nicht ausreichend,449083.406,5755538.424
4015511-1,1.1,sehr gut,446407.079,5756945.046
4015511-2,2.2,befriedigend,446407.079,5756945.046
4015526-1,2.2,befriedigend,443330.491,5751226.476
4015526-2,1.8,gut,443330.491,5751226.476
4015527-0,1.9,gut,443584.468,5751063.884
4015528-1,2.1,befriedigend,443956.956,5750827.13
4015528-2,1.8,gut,443966.226,5750821.238
4015538-0,1.3,sehr gut,444220.118,5750656.942
4015562-0,2.4,befriedigend,448850.109,5755699.893
4015564-0,1.8,gut,444667.596,5757562.277
4015566-0,1.0,sehr gut,445130.615,5757382.593
4016503-0,1.7,gut,456014.795,5750218.311
4016541-0,1.1,sehr gut,465330.048,5759757.487
4016542-2,1.7,gut,465335.401,5760206.722
4016542-3,1.8,gut,465335.401,5760206.722
4016544-0,1.9,gut,465527.987,5760903.81
4016547-0,1.7,gut,465033.32,5759247.447
4016553-0,1.8,gut,458922.345,5752763.831
4016556-0,1.2,sehr gut,460887.155,5755151.602
4016587-1,2.0,befriedigend,465367.219,5750498.55
4016587-2,2.2,befriedigend,465367.219,5750498.55
4016588-0,2.0,befriedigend,464444.614,5750200.639
4016589-0,2.5,ausreichend,463484.327,5749930.157
4016761-0,1.8,gut,465461.352,5757370.634
4016762-0,2.0,befriedigend,465347.037,5757513.08
4016763-0,2.0,befriedigend,464976.808,5757830.62
4016767-0,1.7,gut,464556.218,5758050.988
4016768-1,1.8,gut,464262.55,5758151.687
4016768-2,1.8,gut,464271.683,5758147.614
4016768-3,1.8,gut,464277.162,5758145.17
4016768-4,1.8,gut,464303.486,5758163.364
4016770-1,1.2,sehr gut,464667.885,5758891.859
4016770-2,1.2,sehr gut,464667.885,5758891.859
4016772-1,1.7,gut,464546.38,5758727.461
4016773-1,1.8,gut,464414.652,5758498.032
4016774-2,1.7,gut,463707.355,5758451.117
4016774-3,1.7,gut,463717.942,5758463.162
4017543-0,2.1,befriedigend,473369.752,5760739.89
4017544-2,1.1,sehr gut,473540.443,5760684.923
4017545-1,2.8,ausreichend,473834.506,5760578.722
4017545-2,2.7,ausreichend,473801.628,5760610.227
4017545-3,2.7,ausreichend,473801.628,5760610.227
4017545-4,2.7,ausreichend,473787.973,5760599.417
4017546-2,2.4,befriedigend,474097.015,5760436.578
4017546-3,2.2,befriedigend,474097.015,5760436.578
4017547-0,2.2,befriedigend,474529.383,5760068.121
4017548-0,2.2,befriedigend,475016.008,5759693.282
4017549-0,2.2,befriedigend,475526.268,5759400.462
4017550-0,2.0,befriedigend,476075.801,5758945.678
4017551-0,2.0,befriedigend,474603.443,5750174.727
4017552-0,1.7,gut,474385.11,5750372.129
4017553-0,1.0,sehr gut,474302.598,5750451.861
4017554-0,2.2,befriedigend,474120.994,5750663.815
4017555-0,2.3,befriedigend,473781.667,5751699.223
4017556-0,2.5,ausreichend,473659.744,5752195.085
4017558-2,2.5,ausreichend,473913.549,5760890.505
4017558-3,1.9,gut,473886.803,5760926.838
4017558-4,1.8,gut,473886.803,5760926.838
4017558-5,1.9,gut,473876.178,5760930.306
4017559-2,2.7,ausreichend,473891.873,5760945.082
4017559-3,1.8,gut,473893.207,5760949.883
4017559-4,2.5,ausreichend,473893.207,5760949.883
4017559-5,2.8,ausreichend,473880.672,5760946.551
4017560-A,1.6,gut,472672.532,5760711.031
4017560-B,1.8,gut,472672.532,5760711.031
4017560-C,1.6,gut,472672.532,5760711.031
4017568-2,2.4,befriedigend,473657.551,5760091.179
4017568-3,2.3,befriedigend,473658.812,5760096.005
4017568-4,1.7,gut,473658.812,5760096.005
4017568-5,2.7,ausreichend,473657.551,5760091.179
4017569-2,2.4,befriedigend,473634.873,5760006.366
4017569-3,2.3,befriedigend,473634.873,5760006.366
4017570-1,2.0,befriedigend,473593.068,5759219.625
4017570-2,1.6,gut,473593.068,5759219.625
4017570-3,1.2,sehr gut,473593.068,5759219.625
4017571-2,2.5,ausreichend,473588.876,5758816.051
4017571-3,2.4,befriedigend,473588.876,5758816.051
4017573-0,2.3,befriedigend,473366.695,5757948.596
4017574-1,2.2,befriedigend,472643.191,5757419.239
4017574-2,1.6,gut,472643.191,5757419.239
4017574-3,1.0,sehr gut,472643.191,5757419.239
4017574-4,2.1,befriedigend,472643.191,5757419.239
4017575-1,1.8,gut,472132.389,5757180.942
4017575-2,1.6,gut,472132.389,5757180.942
4017575-3,2.0,befriedigend,472132.389,5757180.942
4017577-1,2.3,befriedigend,470487.66,5756122.972
4017577-2,2.2,befriedigend,470487.66,5756122.972
4017578-1,1.9,gut,469574.788,5755444.708
4017578-2,2.5,ausreichend,469574.788,5755444.708
4017578-3,1.9,gut,469574.788,5755444.708
4017584-0,2.7,ausreichend,467837.956,5753465.922
4017585-1,1.1,sehr gut,466730.761,5751673.628
4017585-2,1.7,gut,466730.761,5751673.628
4017585-3,1.9,gut,466730.761,5751673.628
4017586-1,2.0,befriedigend,466622.156,5751515.609
4017586-2,2.0,befriedigend,466622.156,5751515.609
4017586-3,2.0,befriedigend,466622.156,5751515.609
4017586-4,2.0,befriedigend,466622.156,5751515.609
4017590-2,1.3,sehr gut,473112.39,5752671.148
4017590-3,1.7,gut,473112.39,5752671.148
4017591-2,2.6,ausreichend,472532.681,5752712.46
4017591-3,2.8,ausreichend,472532.681,5752712.46
4017592-0,2.0,befriedigend,472359.864,5752692.986
4017594-2,2.0,befriedigend,472136.194,5752692.23
4017594-3,2.0,befriedigend,472136.194,5752692.23
4017595-2,2.5,ausreichend,471564.209,5752851.578
4017595-3,2.5,ausreichend,471564.209,5752851.578
4017596-2,2.0,befriedigend,471273.154,5753042.795
4017596-3,2.0,befriedigend,471273.154,5753042.795
4017597-0,1.8,gut,471233.203,5753076.044
4017598-0,1.2,sehr gut,471106.661,5753190.905
4017599-0,2.2,befriedigend,470848.126,5753466.306
4017603-2,1.0,sehr gut,470673.663,5753666.958
4017603-3,1.2,sehr gut,470673.663,5753666.958
4017604-0,2.2,befriedigend,470411.036,5753954.994
4017605-2,2.2,befriedigend,470279.105,5754084.553
4017605-3,1.5,gut,470279.105,5754084.553
4017606-0,2.2,befriedigend,470178.318,5754174.273
4017607-0,1.1,sehr gut,470043.922,5754281.456
4017608-0,2.0,befriedigend,469133.82,5754727.946
4017625-1,1.2,sehr gut,469317.967,5755297.192
4017625-2,1.8,gut,469317.967,5755297.192
4017625-3,1.7,gut,469317.967,5755297.192
4017625-4,2.0,befriedigend,469317.967,5755297.192
4017626-1,1.8,gut,469122.97,5755185.157
4017626-2,2.1,befriedigend,469122.97,5755185.157
4017626-3,2.1,befriedigend,469122.97,5755185.157
4017626-4,2.1,befriedigend,469122.97,5755185.157
4017627-1,2.0,befriedigend,468928.247,5755033.697
4017627-2,1.9,gut,468898.586,5755055.754
4017627-3,1.8,gut,468898.586,5755055.754
4017627-4,2.0,befriedigend,468852.706,5755047.116
4017628-1,2.3,befriedigend,468612.163,5754813.58
4017628-2,2.3,befriedigend,468573.121,5754823.324
4017628-3,2.3,befriedigend,468573.121,5754823.324
4017628-4,2.4,befriedigend,468536.43,5754811.801
4017629-2,2.2,befriedigend,468201.52,5754388.122
4017629-3,1.7,gut,468201.52,5754388.122
