bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n
1420508-0,2.2,befriedigend,510366.982,6044670.398
1421500-0,2.3,befriedigend,520527.291,6040805.229
1421502-0,2.7,ausreichend,510836.957,6046305.252
1422502-0,2.1,befriedigend,524556.637,6041157.023
1422504-0,2.5,ausreichend,532327.99,6040375.581
1422505-0,2.3,befriedigend,531941.165,6041271.463
1422506-0,2.3,befriedigend,531647.141,6041875.25
1422507-0,2.2,befriedigend,531388.027,6042259.818
1422508-0,2.2,befriedigend,530800.701,6043075.403
1422509-0,2.5,ausreichend,530250.487,6044638.519
1422510-0,2.0,befriedigend,530216.155,6045256.801
1422511-0,1.6,gut,530328.696,6047273.576
1422512-0,2.4,befriedigend,530295.13,6047664.931
1422513-0,2.0,befriedigend,530044.518,6048732.609
1422514-0,1.7,gut,529469.912,6050011.117
1423501-0,2.3,befriedigend,535811.7,6039538.285
1423502-0,2.5,ausreichend,535079.9,6040071.067
1423503-0,2.7,ausreichend,534858.102,6040153.08
1423504-0,3.0,nicht ausreichend,534736.593,6040101.246
1423505-0,1.9,gut,534219.738,6040164.885
1423506-0,1.7,gut,534053.061,6040222.854
1423507-0,3.0,nicht ausreichend,533741.496,6040392.537
1423508-0,2.2,befriedigend,533401.391,6040746.073
1423509-0,2.0,befriedigend,533142.956,6042287.236
1423510-0,2.0,befriedigend,533097.646,6042591.154
1423512-0,2.2,befriedigend,537662.262,6039446.418
1423513-0,2.0,befriedigend,537160.428,6039361.4
1423514-0,2.5,ausreichend,532602.501,6039915.688
1423517-0,2.3,befriedigend,532861.435,6042514.296
1423518-0,2.5,ausreichend,533447.335,6042677.658
1423519-0,2.3,befriedigend,534021.962,6042786.913
1423520-0,2.8,ausreichend,534879.533,6042946.379
1423521-0,2.0,befriedigend,535899.614,6043242.423
1423522-0,2.8,ausreichend,536027.931,6043300.973
1423523-0,2.0,befriedigend,536739.566,6043679.225
1423524-0,2.0,befriedigend,537218.505,6043965.137
1423525-0,2.1,befriedigend,537553.169,6044183.515
1423532-0,2.2,befriedigend,541956.641,6047702.12
1423540-0,1.6,gut,535874.74,6039244.445
1425500-0,1.6,gut,554885.965,6039451.618
1425501-0,2.9,ausreichend,555216.592,6039871.428
1425502-0,2.2,befriedigend,557135.846,6041922.866
1425503-0,1.7,gut,559596.341,6046157.213
1425504-0,2.8,ausreichend,561026.286,6046677.52
1425505-0,2.1,befriedigend,561818.378,6047794.72
1425506-0,2.0,befriedigend,561895.854,6048295.148
1425507-0,2.0,befriedigend,562247.692,6049325.664
1425508-0,1.8,gut,562397.923,6050299.145
1447501-0,2.2,befriedigend,799704.145,6050356.483
1447503-0,2.0,befriedigend,795107.839,6051077.709
1520500-0,2.7,ausreichend,504402.325,6035063.314
1520501-0,2.4,befriedigend,504664.192,6035313.469
1520502-0,2.0,befriedigend,504954.126,6035675.632
1520503-0,2.0,befriedigend,505200.059,6036078.729
1520505-0,1.9,gut,505460.375,6036508.125
1520506-0,2.0,befriedigend,505539.21,6036645.139
1520507-0,2.0,befriedigend,505646.565,6036836.139
1520508-0,2.0,befriedigend,505772.668,6037081.791
1520509-0,2.3,befriedigend,505849.483,6037253.44
1520510-0,2.5,ausreichend,505950.407,6037530.635
1520511-0,2.2,befriedigend,506016.941,6038277.296
1520512-0,2.5,ausreichend,505909.239,6038717.525
1520513-0,2.0,befriedigend,505845.763,6038874.034
1520514-0,2.8,ausreichend,502265.596,6028654.5
1520515-0,2.8,ausreichend,502911.672,6029646.872
1520516-0,1.0,sehr gut,502934.316,6032618.941
1520517-0,2.2,befriedigend,503082.649,6033446.72
1520518-0,2.0,befriedigend,505155.151,6036002.395
1520535-0,1.8,gut,504986.61,6035723.752
1523500-0,2.2,befriedigend,541544.465,6028279.634
1523501-0,2.2,befriedigend,539939.219,6029680.824
1523502-0,2.1,befriedigend,539257.147,6030473.774
1523503-1,1.9,gut,538779.584,6031364.377
1523503-2,1.8,gut,538779.584,6031364.377
1523504-0,2.4,befriedigend,537973.736,6033556.483
1523505-0,1.8,gut,537566.719,6034378.687
1523506-1,2.4,befriedigend,536857.361,6035307.08
1523506-2,2.0,befriedigend,536857.361,6035307.08
1523507-0,2.2,befriedigend,536021.605,6036027
1523509-0,1.8,gut,535302.849,6036547.591
1523510-0,1.9,gut,534607.343,6037317.456
1523511-0,2.0,befriedigend,534599.688,6037326.676
1523512-0,2.0,befriedigend,534139.011,6038004.467
1523513-0,2.9,ausreichend,533666.927,6038653.418
1523514-0,2.0,befriedigend,533331.344,6039004.873
1523515-0,2.0,befriedigend,535460.01,6037153.08
1523516-0,2.9,ausreichend,535624.03,6037544.211
1523517-0,2.2,befriedigend,535962.893,6038180.669
1523518-0,1.9,gut,536016.89,6038561.358
1523522-0,2.0,befriedigend,535000.869,6037332.565
1524502-0,2.1,befriedigend,552682.762,6037589.758
1524504-0,2.1,befriedigend,548434.811,6038451.342
1524505-0,2.7,ausreichend,546161.885,6037910.74
1524506-A1,1.8,gut,545455.447,6037495.472
1524506-A2,1.7,gut,545455.447,6037495.472
1524507-0,2.4,befriedigend,552746.685,6037670.719
1524508-0,2.5,ausreichend,552917.632,6037868.883
1524509-0,2.5,ausreichend,553066.988,6038010.498
1524514-0,2.0,befriedigend,552931.043,6032368.102
1524515-0,2.0,befriedigend,549933.541,6029631.722
1524516-0,2.0,befriedigend,551001.939,6029599.512
1524517-0,2.0,befriedigend,549025.163,6028852.738
1524518-0,1.0,sehr gut,553692.611,6036169.399
1524519-0,1.0,sehr gut,553338.45,6036784.5
1524520-0,1.0,sehr gut,553039.261,6037228.869
1525500-0,2.3,befriedigend,555993.551,6033685.022
1525501-0,2.0,befriedigend,554269.802,6035523.163
1525502-0,2.5,ausreichend,554248.722,6038744.401
1525504-0,1.0,sehr gut,561110.493,6032062.286
1525505-0,2.3,befriedigend,559300.723,6033133.095
1525506-0,2.9,ausreichend,557549.388,6033350.434
1525513-0,2.3,befriedigend,556406.768,6033649.682
1525516-0,2.0,befriedigend,560255.977,6032653.418
1525518-0,1.8,gut,564194.718,6030130.082
1525519-0,2.0,befriedigend,563316.155,6030464.518
1526508-0,2.0,befriedigend,571436.434,6034400.329
1526509-0,1.6,gut,572510.441,6033171.47
1526510-0,1.8,gut,573417.305,6032169.016
1526511-0,1.8,gut,573618.086,6031862.175
1526512-0,2.5,ausreichend,573812.465,6031591.927
1526513-0,2.1,befriedigend,573892.226,6031464.865
1526514-0,2.0,befriedigend,574024.134,6030535.499
1526515-0,1.6,gut,573785.116,6029794.983
1526517-0,2.0,befriedigend,565324.148,6028435.313
1526518-0,2.0,befriedigend,564913.648,6029434.224
1528500-0,2.4,befriedigend,588800.566,6029077.338
1532502-0,2.4,befriedigend,637713.546,6031896.403
1532504-0,2.8,ausreichend,638418.587,6033084.045
1533500-0,2.5,ausreichend,643725.747,6040425.727
1533501-0,2.9,ausreichend,640676.84,6035243.271
1533503-0,2.5,ausreichend,642300.31,6037020.698
1533504-0,2.2,befriedigend,642720.115,6037997.396
1533505-0,2.8,ausreichend,643166.4,6039030.081
1547500-0,2.2,befriedigend,791606.399,6046255.469
1547505-0,2.4,befriedigend,791670.327,6046275.532
1619501-0,2.5,ausreichend,498163.183,6023108.742
1619502-0,2.1,befriedigend,497898.479,6016816.342
1619503-0,2.0,befriedigend,497010.867,6020030.526
1619504-0,2.4,befriedigend,497007.027,6020183.439
1619505-0,2.5,ausreichend,497309.796,6017837.396
1619506-A,2.9,ausreichend,497178.464,6018520.861
1619506-B,3.0,nicht ausreichend,497178.464,6018520.861
1619506-C,2.8,ausreichend,497178.464,6018520.861
1619507-0,2.5,ausreichend,497093.948,6019189.075
1619508-0,2.0,befriedigend,497078.488,6019313.404
1619509-0,2.8,ausreichend,497040.36,6019644.974
1619510-0,2.7,ausreichend,496790.03,6019648.591
1619511-0,2.0,befriedigend,496229.386,6019638.139
1619512-0,2.5,ausreichend,495942.518,6019636.867
1619513-0,2.4,befriedigend,494827.978,6019801.153
1619514-0,1.8,gut,493788.703,6020817.884
1619531-0,1.9,gut,498163.183,6023108.742
1620500-0,2.0,befriedigend,500509.221,6026931.956
