bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
1222568-1,2.1,befriedigend,529439.525,6068621.37,54.76395749306142,9.457538426868837
1222571-0,2.2,befriedigend,529690.168,6070007.797,54.77640182628347,9.461575480108534
1222580-0,2.2,befriedigend,529740.723,6071525.187,54.79003478511222,9.46251697375277
1224503-0,2.8,ausreichend,542882.594,6071101.71,54.785278344294916,9.666818945229014
1224505-0,2.2,befriedigend,543549.892,6070346.878,54.778437872392146,9.677081231452973
1224506-0,2.9,ausreichend,551973.833,6067752.39,54.75432263841235,9.80757271113826
1319508-0,2.2,befriedigend,497530.052,6053525.776,54.629152085359706,8.961740144116767
1322501-0,2.3,befriedigend,529121.257,6050704.021,54.602959757102155,9.45080445180714
1322503-0,2.7,ausreichend,528021.808,6056386.53,54.654089031820746,9.434328991268597
1322506-0,2.4,befriedigend,527122.628,6059063.143,54.67819205068402,9.420640884750256
1322507-0,2.7,ausreichend,526317.355,6060699.257,54.69293795946365,9.408299927947665
1324500-0,2.5,ausreichend,544460.114,6050908.309,54.60367862837294,9.688269080509006
1325504-0,2.8,ausreichend,560179.144,6058867.401,54.67356944224019,9.933214432551152
1325509-0,2.3,befriedigend,562503.74,6052221.148,54.6135654614887,9.967837173242728
1325510-0,2.5,ausreichend,562354.508,6053564.691,54.62565659709447,9.965812665208944
1325515-A,2.5,ausreichend,560407.658,6057302.946,54.65948435226965,9.936434083798185
1325515-B2,2.5,ausreichend,560407.658,6057302.946,54.65948435226965,9.936434083798185
1420501-0,2.1,befriedigend,505719.265,6039129.923,54.49974933072489,9.088312161065033
1420502-0,2.4,befriedigend,505384.558,6039642.845,54.504362704159206,9.08315325659872
1420503-0,2.4,befriedigend,503652.257,6041806.513,54.52382333142883,9.05642829724683
1420505-0,2.3,befriedigend,500674.933,6043991.872,54.54347612071615,9.010432896151384
1420507-0,2.8,ausreichend,500011.279,6046515.106,54.566153089212044,9.000174443880246
1420508-0,2.2,befriedigend,510366.982,6044670.398,54.54946839669625,9.160273009753011
1421500-0,2.3,befriedigend,520527.291,6040805.229,54.51442215961399,9.317079530237638
1421502-0,2.7,ausreichend,510836.957,6046305.252,54.56415105824068,9.167598997480347
1422502-0,2.1,befriedigend,524556.637,6041157.023,54.51740451999354,9.379347658686896
1422504-0,2.5,ausreichend,532327.99,6040375.581,54.509945737146396,9.49930837860579
1422505-0,2.3,befriedigend,531941.165,6041271.463,54.51802138037797,9.493431111394646
1422506-0,2.3,befriedigend,531647.141,6041875.25,54.523465943772685,9.488953994233173
1422507-0,2.2,befriedigend,531388.027,6042259.818,54.52693809922653,9.484991753816887
1422508-0,2.2,befriedigend,530800.701,6043075.403,54.534303653377506,9.476002308291452
1422509-0,2.5,ausreichend,530250.487,6044638.519,54.54838423280551,9.467660072104218
1422512-0,2.4,befriedigend,530295.13,6047664.931,54.57557924314411,9.468662009867701
1423501-0,2.3,befriedigend,535811.7,6039538.285,54.502187058903026,9.553010289484918
1423502-0,2.5,ausreichend,535079.9,6040071.067,54.507026193234864,9.541773613691639
1423503-0,2.7,ausreichend,534858.102,6040153.08,54.50777852170547,9.538358025564142
1423504-0,3.0,nicht ausreichend,534736.593,6040101.246,54.50732104147323,9.536475396075755
1423507-0,3.0,nicht ausreichend,533741.496,6040392.537,54.510006010207896,9.521141050079631
1423508-0,2.2,befriedigend,533401.391,6040746.073,54.513205684319864,9.515928363329062
1423512-0,2.2,befriedigend,537662.262,6039446.418,54.50122741575724,9.581573663388959
1423514-0,2.5,ausreichend,532602.501,6039915.688,54.50579518771008,9.503497221100693
1423517-0,2.3,befriedigend,532861.435,6042514.296,54.52913161140209,9.507785511490965
1423518-0,2.5,ausreichend,533447.335,6042677.658,54.530561362252996,9.516857167773189
1423519-0,2.3,befriedigend,534021.962,6042786.913,54.53150494266535,9.52574900716428
1423520-0,2.8,ausreichend,534879.533,6042946.379,54.5328796967219,9.539019482352451
